文献号	是否转让	说明书页数	附图个数	文献引证数	专利引证数	引证本国专利数	引证外国专利数	专利类别	保护期	分类数	IPC大类数	IPC小类数	同族专利数	同族布局国家（地区）数	是否为PCT国际专利申请	是否为五国专利/四方专利	专利国别代码	申请日公开日时间间隔（年）	申请日授权日时间间隔	公开日授权日时间间隔	剩余有效期	是否有优先权	权项数	发明人数	申请人数	专利权人规模	申请人类型
CN201720065884.8	1	0.008196721	0.032258065	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.012295082	0.111111111	0	0	1
CN201720065455.0	1	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.111111111	0	0	1
CN201720064923.2	1	0.01147541	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.111111111	0	0	1
CN201720065885.2	1	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0.111111111	0	0	1
CN201720064924.7	1	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0.111111111	0	0	1
CN201621485510.3	1	0.008196721	0.032258065	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.012295082	0.518518519	0	0	1
CN201620329779.6	1	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201620145719.9	1	0.008196721	0.010752688	0	0	0	0	0.5	0	0.266666667	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201620145718.4	1	0.009836066	0.032258065	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201510097117.0	1	0.067213115	0.107526882	0.375	0.5	0	0.5	1	1	0.4	0.2	0.4	0.078125	0.095238095	0	0	0	0.111111111	0.25	0.4	1	0	0.053278689	0.148148148	0	1	1
CN201510697260.3	1	0.054098361	0.053763441	0.125	0.333333333	0.222222222	0.166666667	1	1	0.133333333	0.2	0.4	0.015625	0.023809524	0	0	0	0	0.25	0.6	1	0	0.049180328	0.111111111	0	0.666666667	1
CN201510855653.2	1	0.02295082	0	0	0.333333333	0.444444444	0	1	1	0.2	0.2	0.4	0	0	0	0	0	0.111111111	0.25	0.4	0.928571429	0	0.040983607	0.111111111	0	0	1
CN201620489924.7	1	0.01147541	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0.666666667	1
CN201610357093.2	1	0.014754098	0.010752688	0	0.5	0.555555556	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.4	1	0	0.032786885	0	0	0.666666667	1
CN201610293430.6	1	0.01147541	0	0	0.25	0.333333333	0	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.2	1	0	0.028688525	0	0	0	1
CN201610563165.9	1	0.014754098	0.053763441	0	0.416666667	0.555555556	0	1	1	0.066666667	0	0	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.028688525	0.074074074	0	0.666666667	1
CN201380025150.1	1	0.037704918	0.032258065	0.125	0.25	0.111111111	0.166666667	1	1	0.133333333	0	0.2	0.15625	0.19047619	1	0	1	0.222222222	0.333333333	0.4	0.928571429	1	0.180327869	0.259259259	0.333333333	0	1
CN201380030061.6	1	0.093442623	0.043010753	0	0.5	0.111111111	0.416666667	1	1	0.133333333	0.2	0.4	0.015625	0.047619048	1	0	0	0.222222222	0.333333333	0.4	0.857142857	1	0.229508197	0.111111111	0	0	1
CN201480019682.9	1	0.059016393	0.204301075	0.125	0.583333333	0.666666667	0.083333333	1	1	0.2	0.2	0.2	0.125	0.19047619	0	0	1	0.222222222	0.333333333	0.4	0.857142857	1	0.06147541	0.259259259	0.666666667	0	1
CN201480006430.2	1	0	0	0.125	0.5	0.222222222	0.333333333	1	1	0.933333333	0.2	0.4	0.125	0.166666667	0	0	0	0.222222222	0.333333333	0.4	0.928571429	1	0.004098361	0.074074074	0	0	1
CN201310589856.2	1	0.02295082	0.032258065	0.125	0.25	0.333333333	0	1	1	0	0	0	0	0	0	0	0	0.222222222	0.333333333	0.6	0.857142857	0	0.040983607	0.148148148	0	0	1
CN201410488279.2	1	0.027868852	0	0.25	0.333333333	0.222222222	0.166666667	1	1	0.2	0	0	0	0	0	0	0	0	0.25	0.4	0.928571429	1	0.049180328	0.222222222	0	0.333333333	1
CN201510172237.2	1	0.019672131	0.086021505	0.25	0.083333333	0.111111111	0	1	1	0.4	0.2	0.6	0	0	0	0	0	0	0.25	0.6	0.857142857	0	0.036885246	0.074074074	0	0.333333333	0.8
CN201410822442.4	1	0.016393443	0.021505376	0.125	0.25	0.333333333	0	1	1	0.4	0.2	0.6	0	0	0	0	0	0	0.166666667	0.2	0.928571429	0	0.024590164	0.111111111	0.333333333	0	1
CN201410698473.3	1	0.009836066	0	0.25	0.416666667	0.444444444	0.083333333	1	1	0.266666667	0.2	0.4	0	0	0	0	0	0	0.166666667	0.4	0.857142857	0	0.036885246	0.185185185	0	0.333333333	1
CN201410543007.8	1	0.031147541	0.139784946	0.375	0.166666667	0.222222222	0	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.4	0.785714286	0	0.032786885	0.074074074	0.333333333	0.333333333	0.8
CN201520226125.6	1	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.024590164	0.074074074	0	0	1
CN201510050716.7	1	0.021311475	0.064516129	0.25	0.166666667	0.222222222	0	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.032786885	0.074074074	0	0.333333333	1
CN201510052418.1	1	0.019672131	0.043010753	0.125	0.25	0.333333333	0	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.032786885	0.074074074	0	0.333333333	1
CN201420811092.7	1	0.018032787	0.075268817	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0.053278689	0.037037037	0	0	1
CN201510052419.6	1	0.014754098	0	0.125	0.333333333	0.444444444	0	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.032786885	0.111111111	0	0.333333333	1
CN201510050831.4	1	0.014754098	0	0	0.166666667	0.222222222	0	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.166666667	0.4	1	0	0.036885246	0.111111111	0	0.333333333	1
CN201510167228.4	1	0.013114754	0.064516129	0	0.416666667	0.444444444	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.004098361	0.111111111	0	0	1
CN201520225899.7	1	0.009836066	0.053763441	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.008196721	0.074074074	0	0	1
CN201520226015.X	1	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.012295082	0.074074074	0	0	1
CN201410794655.0	1	0.021311475	0.086021505	0	0.666666667	0.888888889	0	1	1	0.066666667	0	0	0	0	0	0	0	0	0.25	0.6	0.857142857	0	0.057377049	0.037037037	0	0	1
CN201520225982.4	1	0.009836066	0.043010753	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0.074074074	0	0	1
CN201520225874.7	1	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0.074074074	0	0	1
CN201510050768.4	1	0.018032787	0	0.125	0.25	0.222222222	0.083333333	1	1	0.133333333	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.928571429	0	0.040983607	0.111111111	0	0.333333333	1
CN201410787906.2	1	0.009836066	0.021505376	0.25	0.083333333	0.111111111	0	1	1	0	0	0	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.012295082	0.185185185	0	0.333333333	1
CN201410698472.9	1	0.008196721	0	0	0.416666667	0.555555556	0	1	1	0.4	0	0.2	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.028688525	0.185185185	0	0.333333333	1
CN201410771449.8	1	0.018032787	0	0.125	0.083333333	0.111111111	0	1	1	0.333333333	0.4	0.6	0	0	0	0	0	0	0.083333333	0	0.928571429	0	0.028688525	0	0	0	1
CN201410668062.X	1	0.018032787	0	0.125	0.083333333	0.111111111	0	1	1	0.266666667	0.4	0.6	0	0	0	0	0	0	0.083333333	0	0.928571429	0	0.028688525	0	0	0	1
CN201410596912.X	1	0.016393443	0	0	0	0	0	1	1	0.133333333	0	0	0	0	0	0	0	0	0.25	0.6	0.928571429	0	0.040983607	0.111111111	0	0	1
CN201510604291.X	1	0.024590164	0.021505376	0	0.333333333	0.444444444	0	1	1	0.2	0	0	0	0	0	0	0	0	0.166666667	0.4	1	0	0.040983607	0	0	0	1
CN201410040923.X	1	0.103278689	0.010752688	0	0.333333333	0.111111111	0.25	1	1	0.2	0.2	0.4	0.953125	1	1	1	1	0.444444444	0.416666667	0.4	0.571428571	1	0.098360656	0.259259259	0.333333333	0	1
CN201410151385.1	1	0.018032787	0.064516129	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.555555556	0.583333333	0.4	0.5	0	0.016393443	0	0	0	1
CN201280031188.5	1	0.047540984	0.182795699	0.25	0.333333333	0	0.333333333	1	1	0.333333333	0.2	0.4	0.140625	0.214285714	1	1	1	0.222222222	0.25	0.4	0.714285714	1	0.045081967	0.185185185	0.333333333	0.333333333	1
CN201410025888.4	1	0.162295082	0.505376344	0	0	0	0	1	1	0.266666667	0	0.2	0.75	0.380952381	1	1	1	1	1	0.6	0.214285714	1	0.040983607	0.074074074	0	0	1
CN201410001495.X	1	0.052459016	0.064516129	0	0	0	0	1	1	0.266666667	0	0.2	0.3125	0.261904762	1	1	1	0.777777778	0.833333333	0.6	0.5	1	0.102459016	0.111111111	0	0	1
CN201210486619.9	1	0.059016393	0.096774194	0.5	0.416666667	0.222222222	0.25	1	1	0.933333333	0.2	0.4	0	0	1	1	0	0.222222222	0.416666667	0.6	0.714285714	0	0.040983607	0.111111111	0	0	1
